id,intent,category,question,response
1,greeting,Greeting,I need help. Please provide information about hi?,Hi! How can I assist you today?
2,placements,Placements,I have a question about does the university provide placements?,The placement cell provides career guidance and placement support according to university programs.
3,courses,Courses,"As a university student, what courses are offered for my course?","The university offers undergraduate, postgraduate, and other programs depending on its academic departments."
4,internships,Internships,Could you please answer this: how should i prepare an internship resume?,"Highlight relevant technical skills, projects, education, certifications, and achievements."
5,assignments,Assignments,I need help. I need help. Where can I submit assignments for students?,Submit assignments through the platform specified by your faculty or department.
6,hostel_fees,Hostel Fees,I need an answer: Please tell me how can i pay hostel fees?,Hostel fees can generally be paid through the university's approved payment system.
7,contact_information,Contact Information,"For my university work, could you please help me? i have a question about how can i contact student services?",Use the student services contact details listed on the official university portal.
8,departments,Departments,I need an answer: Can you explain what departments are available?,The university has departments covering different academic disciplines and programs.
9,application,Application,I need help. Student question: How do I fill the application form?,"Open the admission portal, enter the required details, upload documents, and submit the form."
10,courses,Courses,I need help. I want to know where can i find the course syllabus?,The syllabus can usually be obtained from the department or student portal.
11,courses,Courses,"For my university work, i need help. what courses are offered this year?","The university offers undergraduate, postgraduate, and other programs depending on its academic departments."
12,sports,Sports,"Could you please help me? I need help. As a university student, i need help. i need an answer: can you explain how can i register for sports?",Contact the sports department or follow the registration process announced by the university.
13,internships,Internships,"For my university work, i need an answer: student question: how can i find an internship?","Use the university career center, placement cell, company portals, and verified internship platforms."
14,hostel,Hostel,"As a university student, for my university work, how can i apply for hostel for students?",Submit the hostel application through the university's prescribed process.
15,departments,Departments,What departments are available in detail?,The university has departments covering different academic disciplines and programs.
16,admission,Admission,"As a university student, for my university work, for my university work, what documents are needed for admission for my course?","Common documents include academic certificates, identification proof, photographs, and category certificates if applicable."
17,syllabus,Syllabus,"I need an answer: For my university work, could you please help me? i want to know how can i download my syllabus?",Open the academic or department section of the portal and download the syllabus document.
18,hostel_fees,Hostel Fees,"Could you please help me? I need an answer: For my university work, how much is the hostel fee?","Hostel fees vary by room type, facilities, and academic year."
19,fees,Fees,"As a university student, how can i pay my fees please?",Fees can usually be paid through the student portal or approved university payment methods.
20,placements,Placements,"I need help. As a university student, does the university provide placements?",The placement cell provides career guidance and placement support according to university programs.
21,canteen,Canteen,"As a university student, could you please help me? i need help. are vegetarian meals available?",Food options depend on the campus canteen menu.
22,events,Events,I need help. Please tell me can students organize events?,Students may organize events subject to university approval and event guidelines.
23,examination,Examination,I need help. Where can I get my exam timetable for my course?,The examination timetable is published on the university portal or notice board.
24,library,Library,I need help. I need an answer: I am a student. Can I borrow books?,Registered students can borrow books according to library lending rules.
25,assignments,Assignments,Could you please help me? Where can I submit assignments for students?,Submit assignments through the platform specified by your faculty or department.
26,eligibility,Eligibility,"For my university work, for my university work, what qualifications are required this year?",Applicants must satisfy the educational qualifications specified for the selected program.
27,eligibility,Eligibility,What qualifications are required in detail?,Applicants must satisfy the educational qualifications specified for the selected program.
28,admission,Admission,Could you please help me? Can you help me with what is the admission process?,"The admission process usually includes application, eligibility verification, document submission, and fee payment."
29,hostel,Hostel,"For my university work, could you please help me? for my university work, i need an answer: could you tell me how can i apply for hostel?",Submit the hostel application through the university's prescribed process.
30,scholarships,Scholarships,How can I apply for a scholarship this year?,Check the scholarship portal or university scholarship office for application instructions.
31,examination,Examination,Where can I get my exam timetable this year?,The examination timetable is published on the university portal or notice board.
32,eligibility,Eligibility,I am a student. Can final year students apply?,Final-year students may be allowed to apply subject to the university's admission rules.
33,placements,Placements,I need an answer: How can I register for placements?,Follow the placement cell's registration process through the student portal or placement office.
34,fees,Fees,"As a university student, for my university work, what is the tuition fee in detail?",Tuition fees depend on the program and academic year. Check the current official fee structure.
35,departments,Departments,I want to know where can i find department information?,Department information is available on the university website and student portal.
36,hostel,Hostel,"Could you please help me? I need help. For my university work, i am a student. are separate hostels available?",Hostel arrangements depend on the university's residential facilities.
37,syllabus,Syllabus,Could you please help me? I need an answer: I am a student. Does the syllabus include practical subjects?,Programs with practical components include them in the approved curriculum.
38,transportation,Transportation,"As a university student, does the university provide transportation for my course?",University transportation may be available on selected routes depending on campus policy.
39,courses,Courses,"I need help. For my university work, for my university work, i want to know does the university offer mca?","If MCA is offered, its admission requirements and curriculum are listed in the official program information."
